time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2018-05-14 03:00:00,29.4,20.8,60.0,,,230.0,3.6,,1008.7,,
2018-05-14 12:00:00,32.6,20.2,48.0,,,160.0,3.6,,1002.9,,
2018-05-15 03:00:00,27.4,20.7,67.0,,,250.0,3.6,,1009.8,,
2018-05-16 03:00:00,30.0,19.7,54.0,,,230.0,3.6,,1007.5,,
2018-05-16 12:00:00,35.8,22.0,45.0,,,160.0,3.6,,1001.0,,
2018-05-17 03:00:00,32.6,21.5,52.0,,,320.0,3.6,,1005.8,,
2018-05-17 12:00:00,34.0,23.4,54.0,,,140.0,3.6,,1001.3,,
2018-05-18 03:00:00,25.4,21.1,77.0,,,270.0,3.6,,1007.5,,
2018-05-19 03:00:00,30.8,22.9,63.0,,,290.0,3.6,,1005.3,,
2018-05-23 03:00:00,31.4,25.7,72.0,,,230.0,3.6,,1006.0,,
2018-05-24 03:00:00,28.4,24.8,81.0,,,270.0,3.6,,1006.0,,
2018-05-25 03:00:00,29.4,25.2,78.0,,,230.0,3.6,,1005.6,,
2018-05-27 03:00:00,28.0,20.0,62.0,,,200.0,3.6,,1005.1,,
2018-05-28 03:00:00,32.4,28.1,78.0,,,230.0,3.6,,1002.7,,
2018-05-28 12:00:00,38.0,24.0,45.0,,,230.0,3.6,,999.3,,
2018-05-29 03:00:00,30.0,22.7,65.0,,,290.0,3.6,,1002.4,,
2018-05-30 12:00:00,37.0,19.0,35.0,,,230.0,3.6,,,,
2018-06-01 03:00:00,30.4,20.6,56.0,,,270.0,3.6,,1005.3,,
2018-06-02 12:00:00,30.0,22.2,63.0,,,140.0,3.6,,1003.6,,
2018-06-03 03:00:00,28.0,21.3,67.0,,,230.0,3.6,,1006.3,,
2018-06-04 03:00:00,27.8,21.4,68.0,,,290.0,3.6,,1004.8,,
2018-06-04 12:00:00,36.2,16.9,32.0,,,360.0,3.6,,997.6,,
2018-06-05 03:00:00,27.4,21.7,71.0,,,70.0,3.6,,1005.0,,
2018-06-05 12:00:00,34.0,20.0,44.0,,,360.0,3.6,,1000.1,,
2018-06-06 12:00:00,35.0,19.4,40.0,,,230.0,3.6,,1000.0,,
2018-06-07 03:00:00,23.0,21.3,90.0,,,230.0,3.6,,1007.1,,
2018-06-07 12:00:00,29.2,22.9,69.0,,,290.0,3.6,,1001.2,,
2018-06-08 03:00:00,23.0,21.5,91.0,,,50.0,3.6,,1005.1,,
2018-06-08 12:00:00,27.8,22.7,74.0,,,230.0,3.6,,999.3,,
2018-06-10 03:00:00,23.8,22.1,90.0,,,230.0,3.6,,1002.9,,
2018-06-11 03:00:00,25.4,23.5,89.0,,,290.0,3.6,,1003.6,,
2018-06-11 12:00:00,31.6,21.8,56.0,,,290.0,3.6,,998.0,,
2018-06-13 03:00:00,26.6,22.7,79.0,,,270.0,3.6,,1004.3,,
2018-06-13 12:00:00,32.6,20.8,50.0,,,230.0,3.6,,1000.3,,
2018-06-14 12:00:00,31.4,21.3,55.0,,,270.0,3.6,,1002.3,,
2018-06-15 03:00:00,27.6,22.1,72.0,,,290.0,3.6,,1005.8,,
2018-06-15 12:00:00,32.4,20.3,49.0,,,230.0,3.6,,1001.9,,
2018-06-16 03:00:00,26.4,22.0,77.0,,,230.0,3.6,,1007.6,,
2018-06-16 12:00:00,32.4,18.2,43.0,,,270.0,3.6,,1003.5,,
2018-06-17 03:00:00,25.8,20.8,74.0,,,230.0,3.6,,1007.9,,
2018-06-18 03:00:00,26.8,20.4,68.0,,,300.0,3.6,,1006.2,,
2018-06-18 12:00:00,30.0,,,,,230.0,3.6,,1002.2,,
2018-06-19 03:00:00,26.4,21.8,76.0,,,230.0,3.6,,1005.5,,
2018-06-19 12:00:00,33.6,21.7,50.0,,,270.0,3.6,,1000.1,,
2018-06-20 03:00:00,26.2,22.5,80.0,,,230.0,3.6,,1005.3,,
2018-06-20 12:00:00,34.4,21.5,47.0,,,160.0,3.6,,,,
2018-06-21 03:00:00,27.2,21.5,71.0,,,230.0,3.6,,1004.0,,
2018-06-21 12:00:00,24.4,23.4,94.0,,,360.0,3.6,,1001.6,,
2018-06-22 03:00:00,24.4,22.5,89.0,,,340.0,3.6,,1005.8,,
2018-06-22 12:00:00,27.4,23.0,77.0,,,340.0,3.6,,1001.3,,
2018-06-23 03:00:00,24.4,22.7,90.0,,,270.0,3.6,,1005.8,,
2018-06-24 03:00:00,24.2,21.9,87.0,,,270.0,3.6,,1005.4,,
2018-06-27 03:00:00,25.0,21.7,82.0,,,230.0,3.6,,1003.2,,
2018-06-28 03:00:00,24.4,20.5,79.0,,,230.0,3.6,,1003.6,,
2018-06-28 12:00:00,30.0,21.4,60.0,,,230.0,3.6,,999.9,,
2018-06-29 03:00:00,26.0,22.1,79.0,,,270.0,3.6,,1005.2,,
2018-06-30 03:00:00,26.6,22.0,76.0,,,230.0,3.6,,1006.5,,
2018-07-01 03:00:00,25.6,20.4,73.0,,,230.0,3.6,,1006.7,,
2018-07-01 12:00:00,32.6,19.8,47.0,,,230.0,3.6,,1001.9,,
2018-07-02 03:00:00,25.6,22.5,83.0,,,250.0,3.6,,1006.3,,
2018-07-02 12:00:00,32.0,22.1,56.0,,,230.0,3.6,,1001.5,,
2018-07-03 03:00:00,24.4,20.9,81.0,,,250.0,3.6,,1006.8,,
2018-07-03 12:00:00,28.0,21.1,66.0,,,290.0,3.6,,1003.6,,
2018-07-05 12:00:00,25.4,22.3,83.0,,,230.0,3.6,,1003.6,,
2018-07-06 12:00:00,27.2,22.6,76.0,,,340.0,3.6,,1002.7,,
2018-07-07 03:00:00,24.0,22.6,92.0,,,270.0,3.6,,1004.9,,
2018-07-08 03:00:00,23.2,22.0,93.0,,,290.0,3.6,,1003.7,,
2018-07-09 03:00:00,22.6,21.1,91.0,,,230.0,3.6,,1003.2,,
2018-07-09 12:00:00,24.8,22.9,89.0,,,270.0,3.6,,1000.5,,
2018-07-10 03:00:00,22.6,21.8,95.0,,,230.0,3.6,,1004.6,,
2018-07-11 03:00:00,23.8,22.2,91.0,,,230.0,3.6,,1004.1,,
2018-07-13 03:00:00,23.6,22.0,91.0,,,270.0,3.6,,1003.5,,
2018-07-13 12:00:00,25.0,22.5,86.0,,,230.0,3.6,,1001.1,,
